Codigo;Descricao;Descricao_B;CEP;UF;SITUACAO;TIPO_LOCALIDADE;LOC_NU_SEQUENCIAL_SUB
1;Acrelândia;Acrelândia;69945000;AC;0;M;0
2;Assis Brasil;Assis Brasil;69935000;AC;0;M;0
3;Brasiléia;Brasiléia;69932000;AC;0;M;0
4;Bujari;Bujari;69923000;AC;0;M;0
5;Capixaba;Capixaba;69922000;AC;0;M;0
6;Cruzeiro do Sul;Cruzeiro do Sul;69980000;AC;0;M;0
7;Epitaciolândia;Epitaciolândia;69934000;AC;0;M;0
8;Feijó;Feijó;69960000;AC;0;M;0
9;Jordão;Jordão;69975000;AC;0;M;0
10;Mâncio Lima;Mâncio Lima;69990000;AC;0;M;0
11;Manoel Urbano;Manoel Urbano;69950000;AC;0;M;0
12;Marechal Thaumaturgo;Marechal Thaumaturgo;69983000;AC;0;M;0
13;Plácido de Castro;Plácido de Castro;69928000;AC;0;M;0
14;Porto Acre;Porto Acre;69921000;AC;0;M;0
15;Porto Walter;Porto Walter;69982000;AC;0;M;0
16;Rio Branco;Rio Branco;;AC;1;M;0
17;Rodrigues Alves;Rodrigues Alves;69985000;AC;0;M;0
18;Santa Rosa;Santa Rosa;69955000;AC;0;M;0
19;Sena Madureira;Sena Madureira;69940000;AC;0;M;0
20;Senador Guiomard;Senador Guiomard;69925000;AC;0;M;0
21;Tarauacá;Tarauacá;69970000;AC;0;M;0
22;Xapuri;Xapuri;69930000;AC;0;M;0
23;Água Branca;Água Branca;57490000;AL;0;M;0
24;Alazão;Alazão (Arapiraca);57317000;AL;0;P;30
25;Alecrim;Alecrim (Pão de Açúcar);57405000;AL;0;D;136
26;Anadia;Anadia;57660000;AL;0;M;0
27;Anel;Anel (Viçosa);57710000;AL;0;D;188
28;Anum Novo;Anum Novo (Palmeira dos Índios);57610100;AL;0;P;135
29;Anum Velho;Anum Velho (Palmeira dos Índios);57610200;AL;0;P;135
30;Arapiraca;Arapiraca;;AL;1;M;0
31;Atalaia;Atalaia;57690000;AL;0;M;0
32;Baixa da Onça;Baixa da Onça (Arapiraca);57317100;AL;0;P;30
33;Baixa do Capim;Baixa do Capim (Arapiraca);57317200;AL;0;P;30
34;Bálsamo;Bálsamo (Arapiraca);57317300;AL;0;P;30
35;Bananeiras;Bananeiras (Arapiraca);57317400;AL;0;P;30
36;Barra de Santo Antônio;Barra de Santo Antônio;57925000;AL;0;M;0
37;Barra de São Miguel;Barra de São Miguel;57180000;AL;0;M;0
38;Barra do Bonifácio;Barra do Bonifácio (Palmeira dos Índios);57610300;AL;0;P;135
39;Barra Grande;Barra Grande (Maragogi);57958000;AL;0;D;112
40;Batalha;Batalha;57420000;AL;0;M;0
41;Batingas;Batingas (Arapiraca);57317500;AL;0;P;30
42;Belém;Belém;57630000;AL;0;M;0
43;Belo Monte;Belo Monte;57435000;AL;0;M;0
44;Boa Sorte;Boa Sorte (Palmeira dos Índios);57610400;AL;0;P;135
45;Boa Vista;Boa Vista (Arapiraca);57317600;AL;0;P;30
46;Boa Vista;Boa Vista (Palmeira dos Índios);57610500;AL;0;P;135
47;Boca da Mata;Boca da Mata;57680000;AL;0;M;0
48;Bom Jardim;Bom Jardim (Arapiraca);57317700;AL;0;P;30
49;Bonifácio;Bonifácio (Palmeira dos Índios);57610600;AL;0;P;135
50;Branquinha;Branquinha;57830000;AL;0;M;0
51;Cacimbinhas;Cacimbinhas;57570000;AL;0;M;0
52;Cajarana;Cajarana (Arapiraca);57317800;AL;0;P;30
53;Cajueiro;Cajueiro;57770000;AL;0;M;0
54;Caldeirões de Cima;Caldeirões de Cima (Palmeira dos Índios);57614000;AL;0;D;135
55;Camadanta;Camadanta (Arapiraca);57318000;AL;0;P;30
56;Campestre;Campestre;57968000;AL;0;M;0
57;Campo Alegre;Campo Alegre;57250000;AL;0;M;0
58;Campo Grande;Campo Grande;57350000;AL;0;M;0
59;Canaã;Canaã (Arapiraca);57317900;AL;0;P;30
60;Canafístula;Canafístula (Palmeira dos Índios);57613000;AL;0;D;135
61;Canapi;Canapi;57530000;AL;0;M;0
62;Canastra;Canastra (Ibateguara);57895000;AL;0;D;85
63;Cangandu;Cangandu (Arapiraca);57318100;AL;0;P;30
64;Capela;Capela;57780000;AL;0;M;0
65;Carneiros;Carneiros;57535000;AL;0;M;0
66;Carrasco;Carrasco (Arapiraca);57318200;AL;0;P;30
67;Chã Preta;Chã Preta;57760000;AL;0;M;0
68;Coité do Nóia;Coité do Nóia;57325000;AL;0;M;0
69;Colônia Leopoldina;Colônia Leopoldina;57975000;AL;0;M;0
70;Coqueiro Seco;Coqueiro Seco;57140000;AL;0;M;0
71;Coruripe;Coruripe;57230000;AL;0;M;0
72;Coruripe da Cal;Coruripe da Cal (Palmeira dos Índios);57610900;AL;0;P;135
73;Craíbas;Craíbas;57320000;AL;0;M;0
74;Delmiro Gouveia;Delmiro Gouveia;57480000;AL;0;M;0
75;Dois Riachos;Dois Riachos;57560000;AL;0;M;0
76;Entremontes;Entremontes (Piranhas);57465000;AL;0;D;147
77;Estrela de Alagoas;Estrela de Alagoas;57625000;AL;0;M;0
78;Feira Grande;Feira Grande;57340000;AL;0;M;0
79;Feliz Deserto;Feliz Deserto;57220000;AL;0;M;0
81;Flexeiras;Flexeiras;57995000;AL;0;M;0
83;Gaspar;Gaspar (Arapiraca);57318300;AL;0;P;30
84;Girau do Ponciano;Girau do Ponciano;57360000;AL;0;M;0
85;Ibateguara;Ibateguara;57890000;AL;0;M;0
86;Igaci;Igaci;57620000;AL;0;M;0
87;Igreja Nova;Igreja Nova;57280000;AL;0;M;0
88;Inhapi;Inhapi;57545000;AL;0;M;0
89;Jacaré dos Homens;Jacaré dos Homens;57430000;AL;0;M;0
90;Jacuípe;Jacuípe;57960000;AL;0;M;0
91;Japaratinga;Japaratinga;57950000;AL;0;M;0
92;Jaramataia;Jaramataia;57425000;AL;0;M;0
93;Jenipapo;Jenipapo (Arapiraca);57318400;AL;0;P;30
94;Joaquim Gomes;Joaquim Gomes;57980000;AL;0;M;0
95;Jundiá;Jundiá;57965000;AL;0;M;0
96;Junqueiro;Junqueiro;57270000;AL;0;M;0
97;Lagoa da Areia;Lagoa da Areia (Palmeira dos Índios);57611200;AL;0;P;135
98;Lagoa da Canoa;Lagoa da Canoa;57330000;AL;0;M;0
99;Lagoa da Pedra;Lagoa da Pedra (Arapiraca);57318500;AL;0;P;30
100;Lagoa Dantas;Lagoa Dantas (Palmeira dos Índios);57611500;AL;0;P;135
101;Lagoa do Caldeirão;Lagoa do Caldeirão (Palmeira dos Índios);57611300;AL;0;P;135
102;Lagoa do Canto;Lagoa do Canto (Palmeira dos Índios);57611400;AL;0;P;135
103;Lagoa do Exú;Lagoa do Exú (Palmeira dos Índios);57611600;AL;0;P;135
104;Lagoa do Rancho;Lagoa do Rancho (Arapiraca);57318600;AL;0;P;30
105;Lagoa do Rancho;Lagoa do Rancho (Palmeira dos Índios);57611700;AL;0;P;135
106;Lajes do Caldeirão;Lajes do Caldeirão (Palmeira dos Índios);57611800;AL;0;P;135
107;Laranjal;Laranjal (Arapiraca);57318700;AL;0;P;30
108;Limoeiro de Anadia;Limoeiro de Anadia;57260000;AL;0;M;0
109;Maceió;Maceió;;AL;1;M;0
110;Major Isidoro;Major Isidoro;57580000;AL;0;M;0
111;Mar Vermelho;Mar Vermelho;57730000;AL;0;M;0
112;Maragogi;Maragogi;57955000;AL;0;M;0
113;Maravilha;Maravilha;57520000;AL;0;M;0
114;Marechal Deodoro;Marechal Deodoro;57160000;AL;0;M;0
115;Maribondo;Maribondo;57670000;AL;0;M;0
116;Massaranduba;Massaranduba (Arapiraca);57318800;AL;0;P;30
117;Mata Grande;Mata Grande;57540000;AL;0;M;0
118;Matriz de Camaragibe;Matriz de Camaragibe;57910000;AL;0;M;0
119;Messias;Messias;57990000;AL;0;M;0
120;Minador do Negrão;Minador do Negrão;57615000;AL;0;M;0
121;Monteirópolis;Monteirópolis;57440000;AL;0;M;0
122;Moreira;Moreira (Palmeira dos Índios);57611900;AL;0;P;135
123;Munguba;Munguba (Santana do Mundaú);57850000;AL;0;D;164
124;Murici;Murici;57820000;AL;0;M;0
125;Novo Lino;Novo Lino;57970000;AL;0;M;0
126;Olho D'Água Grande;Olho D'Água Grande;57390000;AL;0;M;0
127;Olho D'Água das Flores;Olho D'Água das Flores;57442000;AL;0;M;0
128;Olho D'Água de Cima;Olho D'Água de Cima (Arapiraca);57318900;AL;0;P;30
129;Olho D'Água do Casado;Olho D'Água do Casado;57470000;AL;0;M;0
130;Olho D'Água dos Dandanhas;Olho D'Água dos Dandanhas (Arapiraca);57319000;AL;0;P;30
131;Olivença;Olivença;57550000;AL;0;M;0
132;Ouro Branco;Ouro Branco;57525000;AL;0;M;0
133;Palestina;Palestina;57410000;AL;0;M;0
134;Palmeira de Fora;Palmeira de Fora (Palmeira dos Índios);57613500;AL;0;P;135
135;Palmeira dos Índios;Palmeira dos Índios;;AL;1;M;0
136;Pão de Açúcar;Pão de Açúcar;57400000;AL;0;M;0
137;Pariconha;Pariconha;57475000;AL;0;M;0
138;Paripueira;Paripueira;57935000;AL;0;M;0
139;Passo de Camaragibe;Passo de Camaragibe;57930000;AL;0;M;0
140;Pau D'Arco;Pau D'Arco (Arapiraca);57319100;AL;0;P;30
141;Pau Ferro;Pau Ferro (Arapiraca);57319200;AL;0;P;30
142;Paulo Jacinto;Paulo Jacinto;57740000;AL;0;M;0
143;Penedo;Penedo;57200000;AL;0;M;0
144;Piaçabuçu;Piaçabuçu;57210000;AL;0;M;0
145;Pilar;Pilar;57150000;AL;0;M;0
146;Pindoba;Pindoba;57720000;AL;0;M;0
147;Piranhas;Piranhas;57460000;AL;0;M;0
148;Poção;Poção (Arapiraca);57319300;AL;0;P;30
149;Poço da Pedra;Poço da Pedra (Arapiraca);57319400;AL;0;P;30
150;Poço das Trincheiras;Poço das Trincheiras;57510000;AL;0;M;0
151;Porto Calvo;Porto Calvo;57900000;AL;0;M;0
152;Porto de Pedras;Porto de Pedras;57945000;AL;0;M;0
153;Porto Real do Colégio;Porto Real do Colégio;57290000;AL;0;M;0
154;Poxim;Poxim (Coruripe);57235000;AL;0;D;71
155;Quebrangulo;Quebrangulo;57750000;AL;0;M;0
156;Riacho do Sertão;Riacho do Sertão (Major Isidoro);57585000;AL;0;D;110
157;Riacho Fundo de Cima;Riacho Fundo de Cima (Palmeira dos Índios);57611000;AL;0;P;135
158;Rio Largo;Rio Largo;57100000;AL;0;M;0
159;Rocha Cavalcante;Rocha Cavalcante (União dos Palmares);57810000;AL;0;D;186
160;Roteiro;Roteiro;57246000;AL;0;M;0
161;Santa Efigênia;Santa Efigênia (Capela);57790000;AL;0;D;64
162;Santa Luzia do Norte;Santa Luzia do Norte;57130000;AL;0;M;0
163;Santana do Ipanema;Santana do Ipanema;57500000;AL;0;M;0
164;Santana do Mundaú;Santana do Mundaú;57840000;AL;0;M;0
165;Santo Antônio;Santo Antônio (Palmeira dos Índios);57611100;AL;0;P;135
166;São Brás;São Brás;57380000;AL;0;M;0
167;São José da Laje;São José da Laje;57860000;AL;0;M;0
168;São José da Tapera;São José da Tapera;57445000;AL;0;M;0
169;São Luís do Quitunde;São Luís do Quitunde;57920000;AL;0;M;0
170;São Miguel dos Campos;São Miguel dos Campos;57240000;AL;0;M;0
171;São Miguel dos Milagres;São Miguel dos Milagres;57940000;AL;0;M;0
172;São Sebastião;São Sebastião;57275000;AL;0;M;0
173;Sapucaia;Sapucaia (Arapiraca);57319500;AL;0;P;30
174;Sapucaia;Sapucaia (Atalaia);57693000;AL;0;D;31
175;Satuba;Satuba;57120000;AL;0;M;0
176;Senador Rui Palmeira;Senador Rui Palmeira;57515000;AL;0;M;0
177;Serra da Mandioca;Serra da Mandioca (Palmeira dos Índios);57612000;AL;0;P;135
178;Serra do São José;Serra do São José (Palmeira dos Índios);57612500;AL;0;P;135
179;Taboleiro do Pinto;Taboleiro do Pinto (Rio Largo);57110000;AL;0;P;158
180;Taboquinha;Taboquinha (Arapiraca);57319600;AL;0;P;30
181;Tanque D'Arca;Tanque D'Arca;57635000;AL;0;M;0
182;Taquarana;Taquarana;57640000;AL;0;M;0
183;Tatuamunha;Tatuamunha (Porto de Pedras);57948000;AL;0;D;152
184;Teotônio Vilela;Teotônio Vilela;57265000;AL;0;M;0
185;Traipu;Traipu;57370000;AL;0;M;0
186;União dos Palmares;União dos Palmares;57800000;AL;0;M;0
187;Usina Camaçari;Usina Camaçari (Coruripe);57233000;AL;0;P;71
188;Viçosa;Viçosa;57700000;AL;0;M;0
189;Vila Aparecida;Vila Aparecida (Arapiraca);57319700;AL;0;P;30
190;Vila São Francisco;Vila São Francisco (Arapiraca);57319800;AL;0;P;30
191;Alvarães;Alvarães;69475000;AM;0;M;0
192;Amatari;Amatari (Itacoatiara);69105000;AM;0;D;233
193;Amaturá;Amaturá;69620000;AM;0;M;0
194;Anamã;Anamã;69445000;AM;0;M;0
195;Anori;Anori;69440000;AM;0;M;0
196;Apuí;Apuí;69265000;AM;0;M;0
197;Ariaú;Ariaú (Barreirinha);69165000;AM;0;D;205
198;Atalaia do Norte;Atalaia do Norte;69650000;AM;0;M;0
199;Augusto Montenegro;Augusto Montenegro (Urucurituba);69182000;AM;0;D;276
200;Autazes;Autazes;69240000;AM;0;M;0
201;Axinim;Axinim (Borba);69210000;AM;0;D;210
202;Badajós;Badajós (Codajás);69452000;AM;0;D;220
203;Balbina;Balbina (Presidente Figueiredo);69736000;AM;0;D;259
204;Barcelos;Barcelos;69700000;AM;0;M;0
205;Barreirinha;Barreirinha;69160000;AM;0;M;0
206;Benjamin Constant;Benjamin Constant;69630000;AM;0;M;0
207;Beruri;Beruri;69430000;AM;0;M;0
208;Boa Vista do Ramos;Boa Vista do Ramos;69195000;AM;0;M;0
209;Boca do Acre;Boca do Acre;69850000;AM;0;M;0
210;Borba;Borba;69200000;AM;0;M;0
211;Caapiranga;Caapiranga;69410000;AM;0;M;0
212;Cametá;Cametá (Barreirinha);69162000;AM;0;D;205
213;Canumã;Canumã (Borba);69212000;AM;0;D;210
214;Canutama;Canutama;69820000;AM;0;M;0
215;Carauari;Carauari;69500000;AM;0;M;0
216;Careiro;Careiro;69250000;AM;0;M;0
217;Careiro da Várzea;Careiro da Várzea;69255000;AM;0;M;0
218;Carvoeiro;Carvoeiro (Barcelos);69725000;AM;0;D;204
219;Coari;Coari;69460000;AM;0;M;0
220;Codajás;Codajás;69450000;AM;0;M;0
221;Cucuí;Cucuí (São Gabriel da Cachoeira);69765000;AM;0;D;266
222;Eirunepé;Eirunepé;69880000;AM;0;M;0
223;Envira;Envira;69870000;AM;0;M;0
224;Floriano Peixoto;Floriano Peixoto (Boca do Acre);69855000;AM;0;D;209
225;Fonte Boa;Fonte Boa;69670000;AM;0;M;0
226;Freguesia do Andirá;Freguesia do Andirá (Barreirinha);69170000;AM;0;D;205
227;Guajará;Guajará;69895000;AM;0;M;0
228;Humaitá;Humaitá;69800000;AM;0;M;0
229;Iauaretê;Iauaretê (São Gabriel da Cachoeira);69790000;AM;0;D;266
230;Içanã;Içanã (São Gabriel da Cachoeira);69760000;AM;0;D;266
231;Ipixuna;Ipixuna;69890000;AM;0;M;0
232;Iranduba;Iranduba;69405000;AM;0;M;0
233;Itacoatiara;Itacoatiara;69100000;AM;0;M;0
234;Itamarati;Itamarati;69510000;AM;0;M;0
235;Itapiranga;Itapiranga;69120000;AM;0;M;0
236;Japurá;Japurá;69495000;AM;0;M;0
237;Juruá;Juruá;69520000;AM;0;M;0
238;Jutaí;Jutaí;69660000;AM;0;M;0
239;Lábrea;Lábrea;69830000;AM;0;M;0
240;Lago Preto;Lago Preto (Boa Vista do Ramos);69196000;AM;0;D;208
241;Manacapuru;Manacapuru;69400000;AM;0;M;0
242;Manaquiri;Manaquiri;69435000;AM;0;M;0
243;Manaus;Manaus;;AM;1;M;0
244;Manicoré;Manicoré;69280000;AM;0;M;0
245;Maraã;Maraã;69490000;AM;0;M;0
246;Massauari;Massauari (Boa Vista do Ramos);69197000;AM;0;D;208
247;Maués;Maués;69190000;AM;0;M;0
248;Mocambo;Mocambo (Parintins);69158000;AM;0;D;256
249;Moura;Moura (Barcelos);69720000;AM;0;D;204
250;Murutinga;Murutinga (Autazes);69245000;AM;0;D;200
251;Nhamundá;Nhamundá;69140000;AM;0;M;0
252;Nova Olinda do Norte;Nova Olinda do Norte;69230000;AM;0;M;0
253;Novo Airão;Novo Airão;69730000;AM;0;M;0
254;Novo Aripuanã;Novo Aripuanã;69260000;AM;0;M;0
255;Osório da Fonseca;Osório da Fonseca (Maués);69192000;AM;0;D;247
256;Parintins;Parintins;;AM;1;M;0
257;Pauini;Pauini;69860000;AM;0;M;0
258;Pedras;Pedras (Barreirinha);69175000;AM;0;D;205
259;Presidente Figueiredo;Presidente Figueiredo;69735000;AM;0;M;0
260;Repartimento;Repartimento (Maués);69193000;AM;0;D;247
261;Rio Preto da Eva;Rio Preto da Eva;69115000;AM;0;M;0
262;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;69740000;AM;0;M;0
263;Santa Rita;Santa Rita (São Paulo de Olivença);69610000;AM;0;D;267
264;Santo Antônio do Içá;Santo Antônio do Içá;69680000;AM;0;M;0
265;São Felipe;São Felipe (São Gabriel da Cachoeira);69752000;AM;0;D;266
266;São Gabriel da Cachoeira;São Gabriel da Cachoeira;69750000;AM;0;M;0
267;São Paulo de Olivença;São Paulo de Olivença;69600000;AM;0;M;0
268;São Sebastião do Uatumã;São Sebastião do Uatumã;69135000;AM;0;M;0
269;Silves;Silves;69110000;AM;0;M;0
270;Tabatinga;Tabatinga;69640000;AM;0;M;0
271;Tapauá;Tapauá;69480000;AM;0;M;0
272;Tefé;Tefé;69470000;AM;0;M;0
273;Tonantins;Tonantins;69685000;AM;0;M;0
274;Uarini;Uarini;69485000;AM;0;M;0
275;Urucará;Urucará;69130000;AM;0;M;0
276;Urucurituba;Urucurituba;69180000;AM;0;M;0
277;Vila Pitinga;Vila Pitinga (Presidente Figueiredo);69737000;AM;0;P;259
278;Abacate da Pedreira;Abacate da Pedreira (Macapá);68912350;AP;0;P;307
279;Água Branca do Amapari;Água Branca do Amapari;68948000;AP;0;M;0
280;Amapá;Amapá;68950000;AP;0;M;0
281;Amapari;Amapari;68945000;AP;0;M;0
282;Ambé;Ambé (Macapá);68912000;AP;0;P;307
283;Aporema;Aporema (Tartarugalzinho);68994000;AP;0;D;322
284;Ariri;Ariri (Macapá);68912050;AP;0;P;307
285;Bailique;Bailique (Macapá);68913000;AP;0;D;307
286;Boca do Jari;Boca do Jari (Laranjal do Jari);68923000;AP;0;D;304
287;Calçoene;Calçoene;68960000;AP;0;M;0
288;Cantanzal;Cantanzal (Macapá);68912800;AP;0;P;307
289;Carmo;Carmo (Macapá);68912100;AP;0;P;307
290;Clevelândia do Norte;Clevelândia do Norte (Oiapoque);68985000;AP;0;D;310
291;Corre Água;Corre Água (Macapá);68912600;AP;0;P;307
292;Cunani;Cunani (Calçoene);68965000;AP;0;D;287
293;Curiaú;Curiaú (Macapá);68912300;AP;0;P;307
294;Cutias;Cutias;68973000;AP;0;M;0
295;Fazendinha;Fazendinha (Macapá);68912250;AP;0;D;307
296;Ferreira Gomes;Ferreira Gomes;68915000;AP;0;M;0
297;Fortaleza;Fortaleza (Santana);68939000;AP;0;D;316
298;Gaivota;Gaivota (Macapá);68912150;AP;0;P;307
299;Gurupora;Gurupora (Macapá);68912650;AP;0;P;307
300;Igarapé do Lago;Igarapé do Lago (Santana);68935000;AP;0;D;316
301;Ilha de Santana;Ilha de Santana (Santana);68937000;AP;0;D;316
302;Inajá;Inajá (Macapá);68912750;AP;0;P;307
303;Itaubal;Itaubal;68976000;AP;0;M;0
304;Laranjal do Jari;Laranjal do Jari;68920000;AP;0;M;0
305;Livramento do Pacuí;Livramento do Pacuí (Macapá);68912450;AP;0;P;307
306;Lourenço;Lourenço (Calçoene);68970000;AP;0;D;287
307;Macapá;Macapá;;AP;1;M;0
308;Mazagão;Mazagão;68940000;AP;0;M;0
309;Mazagão Velho;Mazagão Velho (Mazagão);68943000;AP;0;D;308
310;Oiapoque;Oiapoque;68980000;AP;0;M;0
311;Paredão;Paredão (Ferreira Gomes);68917000;AP;0;D;296
312;Porto Grande;Porto Grande;68997000;AP;0;M;0
313;Pracuúba;Pracuúba;68918000;AP;0;M;0
314;Santa Luzia do Pacuí;Santa Luzia do Pacuí (Macapá);68912530;AP;0;P;307
